label,kind,count,cmc_mean,cmc_median,cmc_p25,cmc_p75,cmc_std,cheap_frac_<=2,heavy_frac_>=6,instant_frac,sorcery_frac,creature_frac,permanent_frac,persistence_mean,persistence_median,edhrec_median,edhrec_p25,edhrec_p75,is_land_frac,is_land_count,is_ramp_frac,is_ramp_count,is_card_draw_frac,is_card_draw_count,is_board_wipe_frac,is_board_wipe_count,is_removal_frac,is_removal_count,is_game_changer_frac,is_game_changer_count,is_mass_land_denial_frac,is_mass_land_denial_count,is_extra_turn_frac,is_extra_turn_count,is_nonland_tutor_frac,is_nonland_tutor_count,is_permanent_card_frac,is_permanent_card_count,has_persistent_output_frac,has_persistent_output_count,cmc_mean_z_global
counterspell,role,320,2.95,3.0,2.0,4.0,1.32664991614216,0.390625,0.0375,0.809375,0.0,0.16875,0.190625,0.259375,0.0,11826.5,5612.5,18752.5,0.0,0,0.034375,11,0.14375,46,0.0,0,1.0,320,0.0,0,0.0,0,0.0,0,0.003125,1,0.190625,61,0.06875,22,-0.2736329947778432
creature,role,16856,3.6360346464167064,3.0,2.0,5.0,1.6578843382767616,0.26584005695301377,0.12933080208827716,0.0033222591362126247,0.0042121499762695774,1.0,0.9924655908875178,1.137280493592786,1.0,16837.0,8949.0,24196.0,0.0013051732320835312,22,0.1041172282866635,1755,0.08080208827717134,1362,0.0009492168960607499,16,0.036544850498338874,616,0.0,0,0.00029663028001898433,5,0.0004152823920265781,7,0.018865685809207403,318,1.0,16856,0.13728049359278596,2314,0.13758562556450385
death_payoff,role,116,3.8189655172413794,4.0,3.0,5.0,1.6431631497638857,0.1896551724137931,0.13793103448275862,0.017241379310344827,0.02586206896551724,0.5775862068965517,0.9568965517241379,1.0689655172413792,1.0,10817.0,4524.5,18099.5,0.0,0,0.05172413793103448,6,0.15517241379310345,18,0.02586206896551724,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9482758620689655,110,0.1206896551724138,14,0.24723691025028313
dies_trigger,role,116,3.8189655172413794,4.0,3.0,5.0,1.6431631497638857,0.1896551724137931,0.13793103448275862,0.017241379310344827,0.02586206896551724,0.5775862068965517,0.9568965517241379,1.0689655172413792,1.0,10817.0,4524.5,18099.5,0.0,0,0.05172413793103448,6,0.15517241379310345,18,0.02586206896551724,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9482758620689655,110,0.1206896551724138,14,0.24723691025028313
edict,role,62,4.064516129032258,4.0,2.25,5.0,1.9499459689945047,0.25806451612903225,0.24193548387096775,0.2903225806451613,0.25806451612903225,0.3064516129032258,0.45161290322580644,0.5483870967741935,0.5,7729.0,4078.75,13700.25,0.016129032258064516,1,0.03225806451612903,2,0.12903225806451613,8,0.0,0,0.016129032258064516,1,0.0,0,0.0,0,0.0,0,0.0,0,0.43548387096774194,27,0.11290322580645161,7,0.3944233305459293
enchantment,role,3525,3.1347517730496453,3.0,2.0,4.0,1.460884110801364,0.35914893617021276,0.062127659574468086,0.000851063829787234,0.0011347517730496454,0.0876595744680851,0.9980141843971632,1.1719148936170212,1.0,13762.0,6605.0,21367.0,0.005106382978723404,18,0.024113475177304965,85,0.11347517730496454,400,0.0028368794326241137,10,0.06439716312056738,227,0.0,0,0.000851063829787234,3,0.0011347517730496454,4,0.013900709219858157,49,1.0,3525,0.17191489361702128,606,-0.16289023620711895
evasion_granter,role,65,3.646153846153846,4.0,2.0,5.0,1.8599484627332201,0.2923076923076923,0.2,0.09230769230769231,0.06153846153846154,0.5230769230769231,0.8461538461538461,1.0769230769230769,1.0,10319.0,3214.0,21075.0,0.03076923076923077,2,0.07692307692307693,5,0.15384615384615385,10,0.0,0,0.015384615384615385,1,0.0,0,0.0,0,0.015384615384615385,1,0.03076923076923077,2,0.8153846153846154,53,0.26153846153846155,17,0.14365121332542818
flashback_piece,role,217,3.0737327188940093,3.0,2.0,4.0,1.6104787571335184,0.43317972350230416,0.07834101382488479,0.3087557603686636,0.6175115207373272,0.055299539170506916,0.07373271889400922,0.2995391705069124,0.0,13082.0,7481.0,19730.0,0.0,0,0.059907834101382486,13,0.06912442396313365,15,0.0,0,0.07373271889400922,16,0.0,0,0.004608294930875576,1,0.0,0,0.02304147465437788,5,0.07373271889400922,16,0.22580645161290322,49,-0.19946589808591314
instant,role,3572,2.732362821948488,2.0,2.0,4.0,1.4835925022408067,0.5139977603583427,0.04927211646136618,1.0,0.007838745800671893,0.015677491601343786,0.0,0.10638297872340426,0.0,15409.5,8222.5,21801.75,0.005599104143337066,20,0.011198208286674132,40,0.14641657334826427,523,0.004759238521836506,17,0.23124300111982082,826,0.0,0,0.0005599104143337066,2,0.0013997760358342665,5,0.012877939529675251,46,0.01707726763717805,61,0.0893057110862262,319,-0.40408771825427714
land,role,1136,0.24735915492957747,0.0,0.0,0.0,0.9873727754846697,0.9498239436619719,0.008802816901408451,0.017605633802816902,0.017605633802816902,0.01936619718309859,0.9647887323943662,0.13468309859154928,0.0,3077.5,879.25,8154.25,1.0,1136,0.8318661971830986,945,0.09419014084507042,107,0.0,0,0.016725352112676055,19,0.0,0,0.0,0,0.0008802816901408451,1,0.04225352112676056,48,0.06338028169014084,72,0.07130281690140845,81,-1.8936331586116535
land_ramp,role,251,2.7968127490039842,3.0,2.0,4.0,1.675506048548296,0.4701195219123506,0.09561752988047809,0.09561752988047809,0.22709163346613545,0.44223107569721115,0.6772908366533864,0.7768924302788844,1.0,8762.0,4059.5,14690.5,0.05976095617529881,15,0.09561752988047809,24,0.12350597609561753,31,0.0,0,0.04780876494023904,12,0.0,0,0.00398406374501992,1,0.0,0,0.00398406374501992,1,0.6175298804780877,155,0.1593625498007968,40,-0.36545554388326473
legendary,role,3452,4.011877172653534,4.0,3.0,5.0,1.6652428963370614,0.15063731170336037,0.1633835457705678,0.0011587485515643105,0.0037659327925840093,0.8117033603707995,0.9950753186558516,1.2586906141367322,1.0,7863.5,4325.75,12564.5,0.0246234067207416,85,0.16512166859791425,570,0.14976825028968713,517,0.003186558516801854,11,0.03852838933951332,133,0.0,0,0.0008690614136732329,3,0.0020278099652375433,7,0.02346465816917729,81,0.9803012746234068,3384,0.2783893395133256,961,0.3628708147489769
loot,role,185,2.9297297297297296,3.0,2.0,4.0,1.298827925865484,0.3783783783783784,0.04864864864864865,0.13513513513513514,0.02702702702702703,0.6,0.8378378378378378,0.9459459459459459,1.0,13413.0,6282.0,19899.0,0.016216216216216217,3,0.10810810810810811,20,1.0,185,0.005405405405405406,1,0.07027027027027027,13,0.0,0,0.0,0,0.0,0,0.005405405405405406,1,0.8162162162162162,151,0.12972972972972974,24,-0.2857832740939757
